valid,0
Benchmark,"Base Ref Time","Est. Base Run Time","Est. Base Ratio","Base Selected","Base Status","Peak Ref Time","Est. Peak Run Time","Est. Peak Ratio","Peak Selected","Peak Status"
400.perlbench,9770,719.359,13.581535783941,1,S,9770,630.859,15.4868203512988,0,S
400.perlbench,9770,719.375,13.5812337098176,0,S,9770,630.328,15.4998667360485,0,S
400.perlbench,9770,719.312,13.5824232043953,0,S,9770,630.5,15.4956383822363,1,S
401.bzip2,9650,950.14,10.1563980045046,0,S,9650,911.703,10.5845873052957,0,S
401.bzip2,9650,951.328,10.1437148911837,0,S,9650,917.594,10.5166337181804,1,S
401.bzip2,9650,951.062,10.1465519598091,1,S,9650,918.187,10.5098416771311,0,S
403.gcc,8050,808.235,9.95997451236336,0,S,8050,629.141,12.7952239641034,0,S
403.gcc,8050,809.391,9.94574933499384,1,S,8050,630.281,12.7720810241781,1,S
403.gcc,8050,809.578,9.94345202068238,0,S,8050,630.375,12.7701764822526,0,S
429.mcf,9120,467.172,19.5217179111762,0,S,9120,467.172,19.5217179111762,0,S
429.mcf,9120,467,19.5289079229122,0,S,9120,467,19.5289079229122,0,S
429.mcf,9120,467.062,19.5263155641007,1,S,9120,467.062,19.5263155641007,1,S
445.gobmk,10490,833.547,12.5847732641351,0,S,10490,753.906,13.9142015052274,0,S
445.gobmk,10490,833.266,12.5890171925892,1,S,10490,753.734,13.9173766872663,1,S
445.gobmk,10490,833.265,12.5890323006487,0,S,10490,753.719,13.9176536613778,0,S
456.hmmer,9330,948.703,9.83447928382223,0,S,9330,939.046,9.93561550765351,1,S
456.hmmer,9330,948.672,9.83480064764218,0,S,9330,939.032,9.93576363744793,0,S
456.hmmer,9330,948.687,9.83464514639707,1,S,9330,939.047,9.93560492712292,0,S
458.sjeng,12100,1068.203,11.327434953843,0,S,12100,952.828,12.69903907106,0,S
458.sjeng,12100,1068.234,11.3271062332785,1,S,12100,952.812,12.6992523184007,1,S
458.sjeng,12100,1068.234,11.3271062332785,0,S,12100,952.718,12.7005052911775,0,S
462.libquantum,20720,977.094,21.2057386495056,1,S,20720,871.125,23.7853350552447,0,S
462.libquantum,20720,977.078,21.2060859010233,0,S,20720,870.109,23.8131084726166,0,S
462.libquantum,20720,978.187,21.1820439241168,0,S,20720,870.282,23.8083747566881,1,S
464.h264ref,22130,1150.234,19.2395634279634,0,S,22130,1082.656,20.4404723199243,0,S
464.h264ref,22130,1149.734,19.2479303908556,0,S,22130,1081.968,20.453469973234,0,S
464.h264ref,22130,1149.797,19.2468757528503,1,S,22130,1082.047,20.4519766701446,1,S
